time,lat,long,vel,acc,rel_vel,rel_pos,date_time,acc_change,vel_change,is_oscillating,is_wave,num_oscillations,wave_id
1726892119.247582,37.638988833333336,-122.40476766666669,25.67274475097656,-0.0599999986588954,-0.125,33.0,2024-09-20 21:15:19.247581,4.209999922662973,0.5859375,False,True,1.0,1.0
1726892120.247359,37.639206,-122.40490016666666,25.51215362548828,0.2800000011920929,-0.375,31.30000114440918,2024-09-20 21:15:20.247359,4.339999943971634,-0.390625,False,True,1.0,1.0
1726892121.2474272,37.63942633333333,-122.40502933333332,25.27777862548828,-0.2999999821186065,-1.125,29.30000114440918,2024-09-20 21:15:21.247427,4.729999929666519,-1.2282981872558594,False,True,1.0,1.0
1726892122.2471936,37.63964516666667,-122.4051565,25.00868225097656,-0.5199999809265137,-1.875,27.200000762939453,2024-09-20 21:15:22.247193,4.159999951720238,-1.6623268127441442,False,True,1.0,1.0
1726892123.2471335,37.639883166666664,-122.40526116666666,24.52691078186035,-0.4599999785423279,-1.6875,25.5,2024-09-20 21:15:23.247133,3.8399999588727947,-2.174478530883789,False,True,1.0,1.0
1726892124.2473395,37.640110666666665,-122.405304,24.05816078186035,-0.4799999892711639,-1.75,23.700000762939453,2024-09-20 21:15:24.247339,3.4899999797344208,-2.6519107818603516,False,True,1.0,1.0
1726892125.2471452,37.64034916666667,-122.40537616666668,23.554689407348633,-0.4599999785423279,-0.9375,22.200000762939453,2024-09-20 21:15:25.247145,2.759999990463257,-3.1510410308837926,False,True,1.0,1.0
1726892126.247593,37.64058383333333,-122.4054505,22.76909828186035,-0.7999999523162842,-0.375,21.30000114440918,2024-09-20 21:15:26.247592,2.579999953508377,-3.8888893127441406,False,True,1.0,1.0
1726892127.2471373,37.640811666666664,-122.40551833333332,22.26128578186035,-0.3599999845027923,0.375,21.30000114440918,2024-09-20 21:15:27.247137,2.4399999380111694,-4.318576812744141,False,True,1.0,1.0
1726892128.2474031,37.641037833333336,-122.40557316666668,21.98784828186035,0.0700000002980232,0.1875,21.30000114440918,2024-09-20 21:15:28.247403,2.8299999311566353,-4.088541030883789,False,True,1.0,1.0
