time,lat,long,vel,acc,rel_vel,rel_pos,date_time
1724365809.144169,37.755225833333334,-122.20905933333331,9.175347328186035,-0.0099999997764825,-0.125,22.5,2024-08-22 15:30:09.144169
1724365810.4443476,37.75530233333333,-122.20912783333333,8.988716125488281,-0.0799999982118606,-0.125,22.30000114440918,2024-08-22 15:30:10.444347
1724365811.7444334,37.7553775,-122.20919566666667,8.880208969116211,0.0399999991059303,-0.0625,22.30000114440918,2024-08-22 15:30:11.744433
1724365812.8445828,37.75586083333334,-122.20962566666668,8.841146469116211,-0.089999996125698,-0.125,22.30000114440918,2024-08-22 15:30:12.844582
1724365814.9443686,37.75592616666667,-122.20968533333334,8.97569465637207,0.0199999995529651,0.375,22.899999618530273,2024-08-22 15:30:14.944368
1724365816.2442162,37.755992,-122.20974433333332,9.214409828186035,0.3700000047683716,1.0,24.100000381469727,2024-08-22 15:30:16.244216
1724365817.5442696,37.75605866666667,-122.20980333333333,9.778646469116213,0.429999977350235,1.1875,25.700000762939453,2024-08-22 15:30:17.544269
1724365818.8442044,37.75612733333333,-122.20986366666666,10.33420181274414,0.4199999868869781,1.3125,27.600000381469727,2024-08-22 15:30:18.844204
1724365820.1443734,37.756198833333336,-122.209926,10.66840362548828,-0.1400000005960464,1.125,29.100000381469727,2024-08-22 15:30:20.144373
1724365821.444372,37.756274,-122.20999066666668,11.197916984558104,0.449999988079071,1.0625,30.899999618530273,2024-08-22 15:30:21.444371
1724365822.7440312,37.75635183333333,-122.21005766666669,11.861979484558104,0.5299999713897705,1.0,32.400001525878906,2024-08-22 15:30:22.744031
1724365824.0444026,37.7564315,-122.210127,12.352431297302246,0.2299999892711639,0.875,33.70000076293945,2024-08-22 15:30:24.044402
1724365825.3445144,37.756514,-122.21019983333332,12.968750953674316,0.4899999797344208,1.0625,35.20000076293945,2024-08-22 15:30:25.344514
1724365826.6444647,37.75660083333333,-122.210277,13.493924140930176,0.3499999940395355,1.1875,36.79999923706055,2024-08-22 15:30:26.644464
1724365827.9440298,37.7566905,-122.21035783333332,14.110243797302246,0.5199999809265137,0.625,37.79999923706055,2024-08-22 15:30:27.944029
1724365829.2448523,37.7567825,-122.21044116666668,14.39670181274414,0.0700000002980232,0.4375,38.29999923706055,2024-08-22 15:30:29.244852
1724365830.5446713,37.7568775,-122.2105265,14.539931297302246,0.0700000002980232,0.375,38.70000076293945,2024-08-22 15:30:30.544671
